物品ID,名字,描述(31汉字),物品详细描述（127汉字）,物品类型描述,物品栏图片,物品栏图片,物品栏图片,等级,物品分类,物品子类,lBourseClass,生物最多拥有个数,需求爵位,需求状态,死亡掉落几率,获取绑定,装备绑定,为1表示：物品不可以丢弃销毁,出售标志,买入价格,购物卷买入,买入士气,点卷购买,卖出价格,卖出士气,叠放数量,使用消失,流通次数,物品转移记录,存在时间的类型,存在时间,切换地图是否消失,物品冷却ID,物品排序,lUseType_LUA,szGoods_LUA[64],死亡销毁,下线掉落,切换地图掉落,能否放仓库,交易所分类查询,BcmPickupMessage,long lDropCallLua,long lBaseParam_1,long lBaseParam_2,long lBaseParam_3,生活材料描述
80861,经验种子,种子,★  [a]用途：[/]成熟后获得经验#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]种植时需要消耗150点活力值,种子,2186,2186,2186,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,1,HouseFloor_UserSeed,,,,,0,,,,,,
80862,水晶币种子,种子,★  [a]用途：[/]成熟后获得水晶币#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]种植时需要消耗100点活力值,种子,2185,2185,2185,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,1,HouseFloor_UserSeed,,,,,0,,,,,,
80863,水壶,道具,,道具,2200,2200,2200,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80864,杀虫剂,道具,,道具,2198,2198,2198,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80865,镰刀,道具,,道具,2192,2192,2192,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80866,肥料袋子,道具,,道具,2190,2190,2190,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80867,收获,道具,,道具,2196,2196,2196,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80868,抚摸,道具,,道具,2195,2195,2195,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80869,注射器,道具,,道具,2199,2199,2199,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80870,扫帚,道具,,道具,2194,2194,2194,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80871,调试剂,道具,,道具,2191,2191,2191,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80872,电池,道具,,道具,2188,2188,2188,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80873,羊皮纸,道具,,道具,2189,2189,2189,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80874,魔法药水,道具,,道具,2193,2193,2193,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80875,木头,道具,,道具,2197,2197,2197,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80876,羊皮卷轴 ,道具,,道具,2189,2189,2189,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80877,魔法药水瓶,道具,,道具,2193,2193,2193,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80878,调色剂,道具,,道具,2191,2191,2191,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80879,怪物蛋,道具,★  [a]用途：[/]通过庄园怪兽栏可以孵化成怪兽#★  [a]获取：[/]由畜牧场动物生产时产出#★  [a]说明：[/]可通过庄园怪兽栏培养，成熟后可收获灵魂石,道具,2184,2184,2184,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80880,宝石原料,道具,★  [a]用途：[/]通过庄园宝石池可以培养出宝石#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集宝石原料后，通过庄园宝石池培养，成熟后可获得宝石,道具,2182,2182,2182,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80881,宝石原料,道具,★  [a]用途：[/]通过庄园宝石池可以培养出宝石#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集宝石原料后，通过庄园宝石池培养，成熟后可获得宝石,道具,2182,2182,2182,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80882,载具卡片原料A,道具,★  [a]用途：[/]通过庄园载具卡片制造台可以制造出载具卡片#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园载具卡片制造台制造，完成后可获得载具卡片,道具,2187,2187,2187,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80883,载具卡片原料B,道具,★  [a]用途：[/]通过庄园载具卡片制造台可以制造出载具卡片#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园载具卡片制造台制造，完成后可获得载具卡片,道具,2187,2187,2187,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80884,宠物技能书原料A,道具,★  [a]用途：[/]通过庄园宠物技能魔法塔可以翻译出宠物技能书#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园宠物技能魔法塔翻译，完成后可获得宠物技能书,道具,2183,2183,2183,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80885,宠物技能书原料B,道具,★  [a]用途：[/]通过庄园宠物技能魔法塔可以翻译出宠物技能书#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园宠物技能魔法塔翻译，完成后可获得宠物技能书,道具,2183,2183,2183,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80886,家具原料,道具,★  [a]用途：[/]通过庄园家具制造台可以制造出家具#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集家具原料后，通过庄园家具制造台制造，完成后可获得家具,道具,2181,2181,2181,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80887,家具原料,道具,★  [a]用途：[/]通过庄园家具制造台可以制造出家具#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集家具原料后，通过庄园家具制造台制造，完成后可获得家具,道具,2181,2181,2181,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80888,普通肥料,道具,★  [a]用途：[/]使用后可以加快植物才成长速度#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]只可以对自己种植园中的植物使用,道具,2190,2190,2190,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80889,特殊肥料,道具,★  [a]用途：[/]使用后可以加快植物才成长速度#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]只可以对好友、师徒或兄弟会成员关系的种植园中植物使用,道具,2190,2190,2190,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80890,智慧水晶,道具,★  [a]用途：[/]在使用题卷时，背包中有智慧水晶就可以直接通过题目考验，直接获得奖励#★  [a]说明：[/]智慧水晶拥有无穷的智慧，解决世间任何难题,道具,52014,52014,52014,2,3,1,0,0,,0,0,,,,,4,4,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80891,遗失的礼包,道具,★  [a]用途：[/]装饰圣诞树的唯一材料#★  [a]获取：[/]圣诞大狂欢活动产出,道具,1150,1150,1150,2,3,1,0,0,,0,0,,,,1,0,0,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80892,绿色魔法笔,道具,★  [a]用途：[/]11-30级题卷抄录材料#★  [a]获取：[/]世界怪物掉落#★  [a]说明：[/]魔法笔放入背包，A键打开阅读界面，选择列表中已阅读的题卷目录，点击抄录按钮,道具,2246,2246,2246,2,3,1,0,0,,0,0,,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80893,蓝色魔法笔,道具,★  [a]用途：[/]11-30级题卷抄录材料#★  [a]获取：[/]快递任务#★  [a]说明：[/]魔法笔放入背包，A键打开阅读界面，选择列表中已阅读的题卷目录，点击抄录按钮,道具,2247,2247,2247,2,3,1,0,0,,0,0,,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80894,紫色魔法笔,道具,★  [a]用途：[/]11-30级题卷抄录材料#★  [a]获取：[/]精英怪物#★  [a]说明：[/]魔法笔放入背包，A键打开阅读界面，选择列表中已阅读的题卷目录，点击抄录按钮,道具,2245,2245,2245,2,3,1,0,0,,0,0,,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80895,绿色魔法石,道具,★  [a]用途：[/]21-30级题卷抄录材料#★  [a]获取：[/]防守浮空岛#★  [a]说明：[/]魔法石放入背包，A键打开阅读界面，选择列表中已阅读的题卷目录，点击抄录按钮,道具,2244,2244,2244,2,3,1,0,0,,0,0,,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80896,蓝色魔法石,道具,★  [a]用途：[/]21-30级题卷抄录材料#★  [a]获取：[/]试炼空间#★  [a]说明：[/]魔法石放入背包，A键打开阅读界面，选择列表中已阅读的题卷目录，点击抄录按钮,道具,2243,2243,2243,2,3,1,0,0,,0,0,,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80897,紫色魔法石,道具,★  [a]用途：[/]21-30级题卷抄录材料#★  [a]获取：[/]防守浮空岛BOSS#★  [a]说明：[/]魔法石放入背包，A键打开阅读界面，选择列表中已阅读的题卷目录，点击抄录按钮,道具,2242,2242,2242,2,3,1,0,0,,0,0,,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80898,营地契约,道具,★  [a]用途：[/]兑换庄园凭证,道具,57028,57028,57028,0,3,1,0,0,,0,0,1,,,1,10000,10000,0,,,,1,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80899,[一档]家具原料,道具,★  [a]用途：[/]通过庄园家具制造台可以制造出家具#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集家具原料后，通过庄园家具制造台制造，完成后可获得家具,道具,2181,2181,2181,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80900,[二档]家具原料,道具,★  [a]用途：[/]通过庄园家具制造台可以制造出家具#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集家具原料后，通过庄园家具制造台制造，完成后可获得家具,道具,2181,2181,2181,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80901,[三档]家具原料,道具,★  [a]用途：[/]通过庄园家具制造台可以制造出家具#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集家具原料后，通过庄园家具制造台制造，完成后可获得家具,道具,2181,2181,2181,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80902,[四档]家具原料,道具,★  [a]用途：[/]通过庄园家具制造台可以制造出家具#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集家具原料后，通过庄园家具制造台制造，完成后可获得家具,道具,2181,2181,2181,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80903,[五档]家具原料,道具,★  [a]用途：[/]通过庄园家具制造台可以制造出家具#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集家具原料后，通过庄园家具制造台制造，完成后可获得家具,道具,2181,2181,2181,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80904,[二档]怪物蛋,道具,★  [a]用途：[/]通过庄园怪兽栏可以孵化成怪兽#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]可通过庄园怪兽栏培养，成熟后可收获灵魂石,道具,2184,2184,2184,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80905,[三档]怪物蛋,道具,★  [a]用途：[/]通过庄园怪兽栏可以孵化成怪兽#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]可通过庄园怪兽栏培养，成熟后可收获灵魂石,道具,2184,2184,2184,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80906,[四档]怪物蛋,道具,★  [a]用途：[/]通过庄园怪兽栏可以孵化成怪兽#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]可通过庄园怪兽栏培养，成熟后可收获灵魂石,道具,2184,2184,2184,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80907,[五档]怪物蛋,道具,★  [a]用途：[/]通过庄园怪兽栏可以孵化成怪兽#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]可通过庄园怪兽栏培养，成熟后可收获灵魂石,道具,2184,2184,2184,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80908,[六档]怪物蛋,道具,★  [a]用途：[/]通过庄园怪兽栏可以孵化成怪兽#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]可通过庄园怪兽栏培养，成熟后可收获灵魂石,道具,2184,2184,2184,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80909,[七档]怪物蛋,道具,★  [a]用途：[/]通过庄园怪兽栏可以孵化成怪兽#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]可通过庄园怪兽栏培养，成熟后可收获灵魂石,道具,2184,2184,2184,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80910,[八档]怪物蛋,道具,★  [a]用途：[/]通过庄园怪兽栏可以孵化成怪兽#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]可通过庄园怪兽栏培养，成熟后可收获灵魂石,道具,2184,2184,2184,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80911,[二档]宝石原料,道具,★  [a]用途：[/]通过庄园宝石池可以培养出宝石#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集宝石原料后，通过庄园宝石池培养，成熟后可获得宝石,道具,2182,2182,2182,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80912,[三档]宝石原料,道具,★  [a]用途：[/]通过庄园宝石池可以培养出宝石#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集宝石原料后，通过庄园宝石池培养，成熟后可获得宝石,道具,2182,2182,2182,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80913,[四档]宝石原料,道具,★  [a]用途：[/]通过庄园宝石池可以培养出宝石#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集宝石原料后，通过庄园宝石池培养，成熟后可获得宝石,道具,2182,2182,2182,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80914,[五档]宝石原料,道具,★  [a]用途：[/]通过庄园宝石池可以培养出宝石#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集宝石原料后，通过庄园宝石池培养，成熟后可获得宝石,道具,2182,2182,2182,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80915,[六档]宝石原料,道具,★  [a]用途：[/]通过庄园宝石池可以培养出宝石#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集宝石原料后，通过庄园宝石池培养，成熟后可获得宝石,道具,2182,2182,2182,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80916,[七档]宝石原料,道具,★  [a]用途：[/]通过庄园宝石池可以培养出宝石#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集宝石原料后，通过庄园宝石池培养，成熟后可获得宝石,道具,2182,2182,2182,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80917,[八档]宝石原料,道具,★  [a]用途：[/]通过庄园宝石池可以培养出宝石#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集宝石原料后，通过庄园宝石池培养，成熟后可获得宝石,道具,2182,2182,2182,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80918,[二档]载具卡片原料A,道具,★  [a]用途：[/]通过庄园载具卡片制造台可以制造出载具卡片#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园载具卡片制造台制造，完成后可获得载具卡片,道具,2187,2187,2187,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80919,[三档]载具卡片原料A,道具,★  [a]用途：[/]通过庄园载具卡片制造台可以制造出载具卡片#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园载具卡片制造台制造，完成后可获得载具卡片,道具,2187,2187,2187,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80920,[四档]载具卡片原料A,道具,★  [a]用途：[/]通过庄园载具卡片制造台可以制造出载具卡片#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园载具卡片制造台制造，完成后可获得载具卡片,道具,2187,2187,2187,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80921,[五档]载具卡片原料A,道具,★  [a]用途：[/]通过庄园载具卡片制造台可以制造出载具卡片#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园载具卡片制造台制造，完成后可获得载具卡片,道具,2187,2187,2187,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80922,[六档]载具卡片原料A,道具,★  [a]用途：[/]通过庄园载具卡片制造台可以制造出载具卡片#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园载具卡片制造台制造，完成后可获得载具卡片,道具,2187,2187,2187,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80923,[七档]载具卡片原料A,道具,★  [a]用途：[/]通过庄园载具卡片制造台可以制造出载具卡片#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园载具卡片制造台制造，完成后可获得载具卡片,道具,2187,2187,2187,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80924,[八档]载具卡片原料A,道具,★  [a]用途：[/]通过庄园载具卡片制造台可以制造出载具卡片#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园载具卡片制造台制造，完成后可获得载具卡片,道具,2187,2187,2187,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80925,[二档]载具卡片原料B,道具,★  [a]用途：[/]通过庄园载具卡片制造台可以制造出载具卡片#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园载具卡片制造台制造，完成后可获得载具卡片,道具,2187,2187,2187,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80926,[三档]载具卡片原料B,道具,★  [a]用途：[/]通过庄园载具卡片制造台可以制造出载具卡片#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园载具卡片制造台制造，完成后可获得载具卡片,道具,2187,2187,2187,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80927,[四档]载具卡片原料B,道具,★  [a]用途：[/]通过庄园载具卡片制造台可以制造出载具卡片#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园载具卡片制造台制造，完成后可获得载具卡片,道具,2187,2187,2187,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80928,[五档]载具卡片原料B,道具,★  [a]用途：[/]通过庄园载具卡片制造台可以制造出载具卡片#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园载具卡片制造台制造，完成后可获得载具卡片,道具,2187,2187,2187,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80929,[六档]载具卡片原料B,道具,★  [a]用途：[/]通过庄园载具卡片制造台可以制造出载具卡片#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园载具卡片制造台制造，完成后可获得载具卡片,道具,2187,2187,2187,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80930,[七档]载具卡片原料B,道具,★  [a]用途：[/]通过庄园载具卡片制造台可以制造出载具卡片#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园载具卡片制造台制造，完成后可获得载具卡片,道具,2187,2187,2187,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80931,[八档]载具卡片原料B,道具,★  [a]用途：[/]通过庄园载具卡片制造台可以制造出载具卡片#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园载具卡片制造台制造，完成后可获得载具卡片,道具,2187,2187,2187,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80932,[二档]宠物技能书原料A,道具,★  [a]用途：[/]通过庄园宠物技能魔法塔可以翻译出宠物技能书#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园宠物技能魔法塔翻译，完成后可获得宠物技能书,道具,2183,2183,2183,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80933,[三档]宠物技能书原料A,道具,★  [a]用途：[/]通过庄园宠物技能魔法塔可以翻译出宠物技能书#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园宠物技能魔法塔翻译，完成后可获得宠物技能书,道具,2183,2183,2183,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80934,[四档]宠物技能书原料A,道具,★  [a]用途：[/]通过庄园宠物技能魔法塔可以翻译出宠物技能书#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园宠物技能魔法塔翻译，完成后可获得宠物技能书,道具,2183,2183,2183,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80935,[五档]宠物技能书原料A,道具,★  [a]用途：[/]通过庄园宠物技能魔法塔可以翻译出宠物技能书#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园宠物技能魔法塔翻译，完成后可获得宠物技能书,道具,2183,2183,2183,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80936,[六档]宠物技能书原料A,道具,★  [a]用途：[/]通过庄园宠物技能魔法塔可以翻译出宠物技能书#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园宠物技能魔法塔翻译，完成后可获得宠物技能书,道具,2183,2183,2183,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80937,[七档]宠物技能书原料A,道具,★  [a]用途：[/]通过庄园宠物技能魔法塔可以翻译出宠物技能书#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园宠物技能魔法塔翻译，完成后可获得宠物技能书,道具,2183,2183,2183,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80938,[八档]宠物技能书原料A,道具,★  [a]用途：[/]通过庄园宠物技能魔法塔可以翻译出宠物技能书#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园宠物技能魔法塔翻译，完成后可获得宠物技能书,道具,2183,2183,2183,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
80939,[二档]宠物技能书原料B,道具,★  [a]用途：[/]通过庄园宠物技能魔法塔可以翻译出宠物技能书#★  [a]获取：[/]庄园种植园中收获植物果实时有概率获得#★  [a]说明：[/]收集到A和B原料后，通过庄园宠物技能魔法塔翻译，完成后可获得宠物技能书,道具,2183,2183,2183,2,3,1,0,0,,0,0,1,,,,0,0,0,,,,1000,,-1,1,,-1,0,,,,,,,,,0,,,,,,
